date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2019-06-11,bitcoin,0.09,0.009999999999999995,2663343982.21,194139223.3499999,235859709.33,45828256.26000002,2019-06-11,0.09,0.09,0.08
2019-06-15,bitcoin,0.09,0.0,2817397668.87,20690925.440000057,309320337.76,-39237319.879999995,2019-06-15,0.09,0.1,0.09
2019-06-19,bitcoin,0.09,0.0,2783192130.43,-113296153.80000019,251155012.22,-38725186.01000002,2019-06-19,0.09,0.09,0.09
2019-06-23,bitcoin,0.09,0.0,2933643538.64,150982703.4499998,325185108.65,135291378.40999997,2019-06-23,0.09,0.09,0.09
2019-06-27,bitcoin,0.1,0.0,3044379770.13,39190533.14000034,671946279.16,343903139.15,2019-06-27,0.1,0.1,0.1
2019-06-30,bitcoin,0.09,0.0,2815098679.12,51261808.10999966,346418708.93,-72109222.45999998,2019-06-30,0.09,0.09,0.09
2019-07-03,bitcoin,0.08,0.0,2508983263.58,-92236740.17000008,360130368.67,11105698.290000021,2019-07-03,0.08,0.08,0.08
2019-07-07,bitcoin,0.08,0.0,2412564608.18,38370990.57999992,311096812.32,29437448.189999998,2019-07-07,0.08,0.08,0.08
2019-07-11,bitcoin,0.07,-0.009999999999999995,2237805031.66,-183434398.92000008,221231598.57,-48992858.600000024,2019-07-11,0.08,0.08,0.07
2019-07-15,bitcoin,0.06,-0.010000000000000009,1853240285.0,-233298905.1500001,208552058.86,-21146152.059999973,2019-07-15,0.07,0.07,0.06
2019-07-19,bitcoin,0.06,0.009999999999999995,1840798635.89,131229761.97000003,160406339.5,-21773471.909999996,2019-07-19,0.06,0.06,0.05
2019-07-23,bitcoin,0.06,0.0,1868514715.39,-39991413.02999997,137533640.91,23404138.200000003,2019-07-23,0.06,0.06,0.06
2019-07-27,bitcoin,0.06,0.0,1946033142.81,127685060.90999985,123191563.96,-104993757.45,2019-07-27,0.06,0.06,0.06
2019-07-31,bitcoin,0.06,0.0,1861201640.75,-10121163.50999999,82533252.63,-18247477.010000005,2019-07-31,0.06,0.06,0.06
2019-08-03,bitcoin,0.06,0.0,1792264515.59,-31122893.590000153,106871562.4,9075241.300000012,2019-08-03,0.06,0.06,0.06
2019-08-07,bitcoin,0.05,-0.009999999999999995,1669756002.07,-91734514.49000001,107284678.51,-11277758.819999993,2019-08-07,0.06,0.06,0.05
2019-08-11,bitcoin,0.05,0.0,1617713769.32,136914314.40999985,122064083.19,23178546.209999993,2019-08-11,0.05,0.05,0.05
2019-08-15,bitcoin,0.05,0.0,1456400422.77,-189055639.76999998,125290248.07,11194033.179999992,2019-08-15,0.06,0.06,0.05
2019-08-19,bitcoin,0.05,0.0,1574102763.86,100277476.87999988,95155572.12,4879747.030000001,2019-08-19,0.05,0.05,0.05
2019-08-23,bitcoin,0.05,0.0,1537475723.91,70519340.24000001,110141050.58,22739857.849999994,2019-08-23,0.05,0.05,0.05
2019-08-27,bitcoin,0.05,0.0,1541925837.91,3663987.3800001144,146395207.91,-26860367.550000012,2019-08-27,0.05,0.05,0.05
2019-08-31,bitcoin,0.04,0.0,1393356581.47,-1053258.2400000095,115569760.96,20449372.53999999,2019-08-31,0.05,0.05,0.04
2019-09-03,bitcoin,0.05,0.010000000000000002,1409467876.78,24140251.109999895,72218997.65,14702863.290000007,2019-09-03,0.04,0.05,0.04
2019-09-07,bitcoin,0.04,0.0,1378821430.86,-3156816.9700000286,74245105.06,-3661923.269999996,2019-09-07,0.05,0.05,0.04
2019-09-11,bitcoin,0.05,0.0,1448065034.16,-10876889.25,78782522.45,-15067120.769999996,2019-09-11,0.05,0.05,0.05
2019-09-15,bitcoin,0.05,0.0,1446341381.03,22356220.170000076,86110562.97,18926979.950000003,2019-09-15,0.04,0.05,0.04
2019-09-19,bitcoin,0.05,0.0,1643522854.93,117372943.57000017,207068652.79,80943873.83999999,2019-09-19,0.05,0.05,0.05
2019-09-23,bitcoin,0.05,0.0,1531930997.04,-79171080.59000015,120575342.74,14400048.059999987,2019-09-23,0.05,0.05,0.05
2019-09-27,bitcoin,0.04,0.0,1180556899.23,-36987370.45000005,144468706.6,-32574596.74000001,2019-09-27,0.05,0.05,0.04
2019-09-30,bitcoin,0.04,0.0,1161234042.78,-42230922.54999995,63808867.85,5161356.370000005,2019-09-30,0.04,0.04,0.04
2019-10-03,bitcoin,0.04,0.0,1224952727.3,686712.0899999142,51613487.89,-194903.5099999979,2019-10-03,0.04,0.04,0.04
2019-10-07,bitcoin,0.04,0.0,1209630555.18,-23488463.169999838,54665474.76,607268.7800000012,2019-10-07,0.04,0.04,0.04
2019-10-11,bitcoin,0.04,0.0,1294889108.26,-26969420.52999997,72632590.21,-15929388.210000008,2019-10-11,0.04,0.04,0.04
2019-10-15,bitcoin,0.04,0.0,1295121948.59,15629743.75999999,56982292.82,3730118.8599999994,2019-10-15,0.04,0.04,0.04
2019-10-19,bitcoin,0.04,0.0,1183634987.95,-38854157.02999997,62072834.5,6220866.6000000015,2019-10-19,0.04,0.04,0.04
2019-10-23,bitcoin,0.04,0.0,1203682405.64,-17040849.17999983,53449309.59,2115338.2600000054,2019-10-23,0.04,0.04,0.04
2019-10-27,bitcoin,0.04,0.0,1261609619.22,-15782148.970000029,171918663.59,63604448.43000001,2019-10-27,0.04,0.04,0.04
2019-10-31,bitcoin,0.04,0.0,1297263669.62,-48622066.19000006,127353940.03,8065746.079999998,2019-10-31,0.04,0.04,0.04
2019-11-03,bitcoin,0.04,0.0,1321834293.82,9539892.809999943,74317534.5,-19158864.739999995,2019-11-03,0.04,0.04,0.04
2019-11-07,bitcoin,0.04,0.0,1392436755.04,18074120.059999943,105252674.81,-15578955.159999996,2019-11-07,0.04,0.04,0.04
2019-11-11,bitcoin,0.04,0.0,1364204782.94,43260795.69000006,99321302.31,41846746.010000005,2019-11-11,0.04,0.04,0.04
