date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2016-05-19,bitcoin,440.54,-12.829999999999984,6855767039.27,-198357026.75999928,626926267.8,244112237.92999995,454.89,454.89,440.54
2016-05-23,bitcoin,443.18,4.5,6903990658.13,72088141.88000011,378979422.06,8992508.709999979,441.89,443.18,438.68
2016-05-27,bitcoin,473.86,20.129999999999995,7388724420.0,315462242.1000004,1609915743.82,837014123.5999999,445.77,473.86,445.77
2016-05-31,bitcoin,531.41,-2.810000000000059,8293336919.63,-42240285.97000027,976889071.47,-50349846.68999994,528.55,534.22,524.62
2016-06-03,bitcoin,570.44,31.610000000000014,8908568259.37,495555239.77000046,947549857.38,291947961.64,539.17,570.44,538.83
2016-06-07,bitcoin,577.91,-7.649999999999977,9033842181.76,-117541329.28999901,995595869.95,145304863.25,573.53,585.56,573.53
2016-06-11,bitcoin,597.75,18.519999999999982,9352955399.18,292010419.2399998,567638086.26,-6869752.0,583.14,597.75,577.61
2016-06-15,bitcoin,693.23,7.300000000000068,10857217289.95,116789084.09000015,1111645975.75,-183971528.1300001,671.71,704.29,671.71
2016-06-19,bitcoin,764.05,7.25,11978503075.35,116993724.9300003,1440147059.44,-199830484.03999996,765.46,765.46,749.42
2016-06-23,bitcoin,623.21,31.32000000000005,9779539536.75,493417260.75,2950728708.76,834298870.4400003,734.16,734.16,591.9
2016-06-27,bitcoin,648.3,18.99000000000001,10182702232.5,300599985.95000076,1893446210.55,-79968719.01999998,661.42,666.06,629.31
2016-06-30,bitcoin,671.62,34.17999999999995,10556309174.4,539528540.8500004,1557452114.66,79259808.92000008,646.84,671.62,637.44
2016-07-03,bitcoin,664.75,-28.299999999999955,10456041581.34,-441290837.2600002,1980745475.19,611179488.97,677.71,693.05,664.75
2016-07-07,bitcoin,638.62,-37.299999999999955,10054273625.0,-584894210.7000008,2122556832.56,929257674.6199999,678.7,678.7,638.62
2016-07-11,bitcoin,649.07,-1.25,10225531860.96,-18545640.180000305,969355597.14,-74601127.89999998,665.74,665.74,649.07
2016-07-15,bitcoin,665.69,6.110000000000014,10491679653.24,97397724.5,915530669.95,8404550.810000062,670.95,670.95,658.15
2016-07-19,bitcoin,674.56,-0.2300000000000182,10636194258.17,-2582761.950000763,721148317.69,-229988650.27999997,663.5,678.39,663.5
2016-07-23,bitcoin,655.42,4.329999999999927,10338768243.22,69357461.26000023,749951409.47,4957927.100000024,670.89,670.89,651.09
2016-07-27,bitcoin,655.62,4.310000000000059,10345876482.26,68978438.54000092,701731382.9,-2597552.8200000525,660.85,660.85,651.31
2016-07-31,bitcoin,623.75,-30.799999999999955,9847086965.69,-485089125.44999886,1034681070.14,653419818.96,655.89,657.34,623.75
2016-08-03,bitcoin,567.38,50.25,8960483430.83,794558831.8400002,2497221230.71,628315144.04,605.75,605.75,517.13
2016-08-07,bitcoin,592.67,5.039999999999964,9364319558.91,80551557.62999916,1119146426.82,337647135.1999999,576.6,592.67,576.03
2016-08-11,bitcoin,587.61,-4.659999999999968,9288488901.62,-72542046.89999962,332761748.88,-454441802.20000005,590.71,592.27,585.3
2016-08-15,bitcoin,567.73,-3.009999999999991,8978508769.86,-46475330.0,689576137.5,-111133190.51999998,586.53,586.53,567.73
2016-08-19,bitcoin,573.49,1.2200000000000273,9073411771.82,20361144.39999962,404401760.59,-43760969.09000003,578.22,578.22,571.46
2016-08-23,bitcoin,582.0,-3.2200000000000273,9212472965.77,-49829951.09000015,602216568.66,210225448.36999995,581.95,585.22,580.59
2016-08-27,bitcoin,568.58,-9.519999999999982,9003730818.6,-149902315.3899994,445311513.39,107089998.77999997,577.89,578.1,568.58
2016-08-31,bitcoin,571.76,-4.32000000000005,9058256694.85,-67458845.62999916,335483654.45,-79099627.97000003,573.53,576.08,571.76
2016-09-03,bitcoin,596.2,22.24000000000001,9448393429.68,353204578.38000107,561496914.79,182996430.26999998,571.59,596.2,571.59
2016-09-07,bitcoin,614.33,3.650000000000091,9740198080.12,58861692.73000145,597124132.72,36783106.00999999,608.69,614.33,606.64
2016-09-11,bitcoin,605.32,-17.739999999999895,9601743135.43,-280196225.9699993,1228662231.03,641865998.48,625.47,625.47,605.32
2016-09-15,bitcoin,605.58,-2.849999999999909,9610607638.99,-43965440.51000023,549080254.73,-70025031.25,605.83,608.43,605.58
2016-09-19,bitcoin,608.62,-0.17999999999994998,9663034352.09,-1829790.9099998474,1272958790.41,-33087111.73000002,606.55,608.8,605.34
2016-09-23,bitcoin,601.89,6.92999999999995,9560527881.96,111113779.63999939,1471656057.2,476672311.72,607.77,607.77,594.96
2016-09-27,bitcoin,604.21,-1.8899999999999864,9602128427.58,-28829083.940000534,1448434854.02,-469319500.06999993,601.27,606.1,599.31
2016-09-30,bitcoin,608.26,3.6200000000000045,9669703048.38,58586088.02999878,1177411408.07,-113724388.11000013,603.55,608.26,603.55
2016-10-03,bitcoin,611.96,1.6000000000000227,9731860020.79,26561832.040000916,767820466.97,-250531799.68999994,614.06,614.06,610.36
2016-10-07,bitcoin,616.22,5.240000000000009,9804216114.14,84428564.53999901,1104537956.21,389919035.7900001,609.24,616.22,609.24
2016-10-11,bitcoin,640.7,26.3900000000001,10198278180.0,421267643.55999947,2996984110.28,1722814697.3000002,616.53,640.7,614.31
2016-10-15,bitcoin,637.21,-0.9699999999999136,10146912931.2,-14370271.920000076,1644480561.89,-27077532.359999895,635.62,638.18,634.62
2016-10-19,bitcoin,628.44,-7.029999999999973,10011295942.5,-110967579.71999931,1955775379.93,-68501768.52999997,640.19,640.19,628.44
2016-10-23,bitcoin,649.63,-2.4600000000000364,10353442542.8,-38043881.050001144,3643525162.78,120575879.97000027,628.54,652.09,628.54
2016-10-27,bitcoin,683.37,9.950000000000045,10896021892.29,160594051.5300007,5041475157.29,190677454.56000042,648.77,683.37,648.77
2016-10-31,bitcoin,698.58,1.3000000000000682,11143032475.88,21882489.339998245,6861251336.35,1036961340.2000008,687.56,715.41,687.56
2016-11-03,bitcoin,686.06,-48.10000000000002,10947521327.78,-766226553.9099998,10469111039.38,5919650995.999999,729.2,734.16,686.06
2016-11-07,bitcoin,706.09,-6.039999999999964,11271922275.87,-95100391.83999825,3299753094.29,623236870.5799999,702.11,712.13,702.11
2016-11-11,bitcoin,715.64,2.42999999999995,11429941440.15,40188298.17000008,3576474207.69,339018241.77,708.94,721.18,708.94
2016-11-15,bitcoin,712.16,6.610000000000014,11386521351.12,107052249.87000084,7530105088.63,2194352653.2300005,703.76,712.16,702.35
2016-11-19,bitcoin,750.41,1.9800000000000182,12003962099.2,33051826.62000084,3235133019.05,-752573045.6199999,740.9,750.41,738.48
2016-11-23,bitcoin,741.17,-6.9500000000000455,11861151745.21,-109958119.0700016,3775381682.63,508160768.98,728.37,748.12,728.37
2016-11-27,bitcoin,727.76,-4.970000000000027,11652161720.37,-78301912.25,2688074106.34,296152447.0300002,736.75,738.2,727.76
2016-11-30,bitcoin,742.36,10.550000000000068,11890119632.99,170228587.02000046,4489070914.74,2584745438.92,731.84,742.36,731.81
2016-12-03,bitcoin,764.83,-6.339999999999918,12254501749.68,-99883802.47999954,2869024714.23,-1744933643.7400002,753.06,771.17,753.06
2016-12-07,bitcoin,763.91,5.219999999999914,12245767526.62,85349300.06000137,2603948961.37,-653036190.77,766.37,766.37,752.24
